5, Фiзвиховання (лекц), NULL, Сп-кс, NULL, NULL, NULL, Вiвторок, ФеЛ-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеЛ-11
7, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеЛ-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеЛ-11
2, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеЛ-11
3, Вища математика (пр),доц. Мильо О.Я.,9, NULL, NULL, NULL, Середа, ФеЛ-11
4, Iноземна мова (пр),доц. Шандра Н.А.,407, NULL, NULL, NULL, Середа, ФеЛ-11
5, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеЛ-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеЛ-11
7, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеЛ-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеЛ-11
2, Фiз.осн.електрон. (лаб),проф. Демкiв. Т.М.,106, NULL, NULL, NULL, Четвер, ФеЛ-11
3, Мат.та комп.суч.ел. (лаб),доц. Матвiїшин I.М.,422, NULL, NULL, NULL, Четвер, ФеЛ-11
4, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеЛ-11
5, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеЛ-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеЛ-11
7, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеЛ-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Пятниця, ФеЛ-11
2, Арх.комп. i прогр. (лекц),доц. Слободзян Д.П.,413, NULL, NULL, NULL, Пятниця, ФеЛ-11
3, Мат.та комп.суч.ел. (лекц),доц. Матвiїшин I.М.,413, NULL, NULL, NULL, Пятниця, ФеЛ-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеП-11
2, Веб-технологiї (лаб),ас. Ткаченко О, NULL, NULL, NULL, NULL, Понедiлок, ФеП-11
3, Об.-орiєнт.прогр. (лекц),доц. Кушнiр. О.О.,130, NULL, NULL, NULL, Понедiлок, ФеП-11
4, Веб-технологiї (лекц),ас. Ткаченко О, NULL, NULL, NULL, NULL, Понедiлок, ФеП-11
5, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеП-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Понедiлок, ФеП-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-11
2, Веб-технологiї (лаб),ас. Мисюк I.В, NULL, NULL, NULL, NULL, Вiвторок, ФеП-11
3, Вища математика (пр),доц. Стахiв Л.Л.,4, NULL, NULL, NULL, Вiвторок, ФеП-11
4, Iноземна мова (пр),доц. Iсаєва Г.Т.,80, NULL, NULL, NULL, Вiвторок, ФеП-11
5, Фiзвиховання (лекц), NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-11
7, NULL, NULL, NULL, NULL, NULL, NULL, Вiвторок, ФеП-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-11
2, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-11
3, Дискр. математ. (лаб),доц. Вельгош С.Р.,3,ОС, сист. прогр. (лаб),доц. Бойко Я.В.,9,Середа, ФеП-11
4, Iноземна мова (пр),доц. Iсаєва Г.Т.,73, NULL, NULL, NULL, Середа, ФеП-11
5, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-11
6, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-11
7, NULL, NULL, NULL, NULL, NULL, NULL, Середа, ФеП-11
1, NULL, NULL, NULL, NULL, NULL, NULL, Четвер, ФеП-11
2, Об.-орiєнт.прогр. (лаб),доц. Кушнiр. О.О.,4,Дискр. математ. (лаб),доц. Вельгош С.Р.,3,Четвер, ФеП-11
